Category,Drink Name ,Size,Sugar,Cals (kcal),FatCals(kcal),Fat(g), SatFat (g),TransFat (g) ,Chol (mg) ,  Sod(Mg),Carb (g),TotFib (g) , Sugar (g)  ,Prot (g) ,Allergen
Tea Latte,Black Tea Latte ,Medium,70,140,45,5,3,0,15,70,22,0,21,5,CONTAINS MILK.
Tea Latte,Black Tea Latte ,Medium,50,130,45,5,3,0,15,70,19,0,18,5,CONTAINS MILK.
Tea Latte,Black Tea Latte ,Medium,30,120,45,5,3,0,15,70,16,0,15,5,CONTAINS MILK.
Tea Latte,Black Tea Latte ,Medium,0,90,45,5,3,0,15,70,8,0,7,5,CONTAINS MILK.
Tea Latte,Black Tea Latte ,Large,100,230,60,6,3.5,0,20,85,40,0,39,6,CONTAINS MILK.
Tea Latte,Black Tea Latte ,Large,70,200,60,6,3.5,0,20,85,31,0,30,6,CONTAINS MILK.
Tea Latte,Black Tea Latte ,Large,50,170,60,6,3.5,0,20,85,24,0,23,6,CONTAINS MILK.
Tea Latte,Black Tea Latte ,Large,30,160,60,6,3.5,0,20,85,21,0,20,6,CONTAINS MILK.
Tea Latte,Black Tea Latte ,Large,0,120,60,6,3.5,0,20,85,10,0,9,6,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Medium,100,170,45,5,3,0,15,70,29,0,28,5,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Medium,70,140,45,5,3,0,15,70,22,0,21,5,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Medium,50,130,45,5,3,0,15,70,19,0,18,5,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Medium,30,120,45,5,3,0,15,70,16,0,15,5,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Medium,0,90,45,5,3,0,15,70,8,0,7,5,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Large,100,230,60,6,3.5,0,20,85,40,0,39,6,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Large,70,200,60,6,3.5,0,20,85,31,0,30,6,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Large,50,170,60,6,3.5,0,20,85,24,0,23,6,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Large,30,160,60,6,3.5,0,20,85,21,0,20,6,CONTAINS MILK.
Tea Latte,Oolong Tea Latte ,Large,0,120,60,6,3.5,0,20,85,10,0,9,6,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Medium,100,170,45,5,3,0,15,70,29,0,28,5,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Medium,70,140,45,5,3,0,15,70,22,0,21,5,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Medium,50,130,45,5,3,0,15,70,19,0,18,5,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Medium,30,120,45,5,3,0,15,70,16,0,15,5,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Medium,0,90,45,5,3,0,15,70,8,0,7,5,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Large,100,230,60,6,3.5,0,20,85,40,0,39,6,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Large,70,200,60,6,3.5,0,20,85,31,0,30,6,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Large,50,170,60,6,3.5,0,20,85,24,0,23,6,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Large,30,160,60,6,3.5,0,20,85,21,0,20,6,CONTAINS MILK.
Tea Latte,Earl Grey Tea Latte ,Large,0,120,60,6,3.5,0,20,85,10,0,9,6,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Medium,100,170,45,5,3,0,15,65,26,0,25,5,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Medium,70,160,45,5,3,0,15,65,23,0,22,5,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Medium,50,155,45,5,3,0,15,65,22,0,21,5,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Medium,30,145,45,5,3,0,15,65,19,0,18,5,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Medium,0,130,45,5,3,0,15,65,15,0,14,5,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Large,100,250,60,6,3.5,0,20,80,43,0,40,7,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Large,70,240,60,6,3.5,0,20,80,40,0,37,7,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Large,50,230,60,6,3.5,0,20,80,37,0,34,7,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Large,30,215,60,6,3.5,0,20,80,34,0,31,7,CONTAINS MILK.
Tea Latte,Matcha Tea Latte ,Large,0,200,60,6,3.5,0,20,80,29,0,26,7,CONTAINS MILK.
Tea Latte,Strawberry Matcha Tea Latte ,Medium,100,260,45,5,3,0,15,70,48,0,45,6,"CONTAINS MILK, SOY."
Tea Latte,Strawberry Matcha Tea Latte ,Large,100,340,60,6,3.5,0,20,90,64,0,60,7,"CONTAINS MILK, SOY."
Tea Latte,Thai Tea Latte ,Medium,100,210,50,5,3.5,0,25,90,38,0,37,5,CONTAINS MILK.
Tea Latte,Thai Tea Latte ,Medium,70,200,50,5,3.5,0,25,90,35,0,34,5,CONTAINS MILK.
Tea Latte,Thai Tea Latte ,Medium,50,195,50,5,3.5,0,25,90,34,0,33,5,CONTAINS MILK.
Tea Latte,Thai Tea Latte ,Medium,30,185,50,5,3.5,0,25,90,31,0,30,5,CONTAINS MILK.
Tea Latte,Thai Tea Latte ,Medium,0,170,50,5,3.5,0,25,90,27,0,26,5,CONTAINS MILK.
Tea Latte,Thai Tea Latte ,Large,100,280,60,7,4.5,0,30,115,51,0,50,7,CONTAINS MILK.
Tea Latte,Thai Tea Latte ,Large,70,270,60,7,4.5,0,30,115,48,0,47,7,CONTAINS MILK.
Tea Latte,Thai Tea Latte ,Large,50,260,60,7,4.5,0,30,115,45,0,44,7,CONTAINS MILK.
Tea Latte,Thai Tea Latte ,Large,30,245,60,7,4.5,0,30,115,42,0,41,7,CONTAINS MILK.
Tea Latte,Thai Tea Latte ,Large,0,230,60,7,4.5,0,30,115,37,0,36,7,CONTAINS MILK.
